# English translations of the one-sentence summary cell of each root README
# gallery row. Format: <disease directory><TAB><English summary>
#
# Consumed by translations/tools/build_root_readme.py. When upstream adds a new
# gallery row, add one line here; everything else in the row regenerates.
# An ellipsis at the end reproduces a summary that upstream itself truncates.
cancer-cachexia	Cachexia is not starvation but a state in which three compensations have failed: the GDF-15/GFRAL arm that reduces intake and the STAT3/SMAD arm that switches on catabolism meet at muscle mass, while muscle quality fails separately, which is why lean mass and physical function dissociate.
carbon-monoxide-poisoning	Writing the two binding sites created by carbon monoxide with different time constants derives, from the asymmetry that measured carboxyhaemoglobin disappears quickly while cytochrome c oxidase binding releases far more slowly, both delayed neurological sequelae and the inconsistency of the hyperbaric oxygen trials.
carcinoid-syndrome	A well-differentiated neuroendocrine tumour of ileal or jejunal origin (midgut NET, Ki-67 below 20%, WHO G1/G2) that, once it metastasises to the liver, releases 5-HT into the systemic circulation by portal bypass, producing the three cardinal features of carcinoid syndrome: (1) facial and cervical flushing (NK1, B2-bradykinin, H1 to eNOS-NO vasodilatation, with 5-HT2B contributing), (2) secretory…
cardiogenic-shock	A syndrome of tissue hypoperfusion caused by primary failure of the cardiac pump (SHOCK trial: 80% of AMI origin). Reduced LV contractility (EF below 30%, falling dP/dt), SV below 35 mL, and CI below 2.2 give MAP below 65, progressing through the five SCAI stages A to E.
celiac-disease	Villous atrophy from the gluten-tTG immune response (HLA-DQ2/8). Gluten-free diet and glutenase drug candidates.
central-precocious-puberty	A disease in which release of the imprinted MKRN3 brake activates the KNDy pulse generator prematurely; because oestradiol raises growth velocity while simultaneously consuming growth plate reserve, the height gain from a GnRH agonist is determined by the bone age at which treatment starts.
cervical-cancer	The fourth commonest cancer in women worldwide (GLOBOCAN 2020: about 660,000 diagnoses and 350,000 deaths a year) and in practice universally attributable to persistent infection with high-risk HPV, especially HPV16/18: the viral oncoprotein E6 degrades p53 via the E6AP-mediated ubiquitin-proteasome pathway, abolishing the G1 checkpoint, while E7 binds pRb and releases E2F, so that the cell cycle…
cervical-dystonia	Reading the point at which the botulinum toxin dose-response curve flattens not as pharmacological saturation but as a measurement of the fraction of muscle the injection actually reached, showing that the ceiling on sustained effect is set by geometry rather than by dose.
chagas-disease	Recomposing the results of four randomised trials into three separated timescales — killing, the dormant reservoir, and myocardial remodelling — derives the paradox of the trypanocides from the fact that the axis blood qPCR measures is not the axis that produces cure.
charcot-marie-tooth-1a	A gene-dosage neuropathy in which a 1.4-Mb duplication at 17p11.2 gives three copies of PMP22; because the therapeutic target is restoration of the normal ratio rather than minimisation, it has an interior optimum with a wall on both the under- and the over-suppression side.
chemotherapy-induced-nausea-vomiting	Writing the emesis endpoint not as a percentage but as the exponential of the integrated hazard of an additive drive derives, from the structure in which every antiemetic removes only one term from that sum, both the separation of the acute and delayed phases and the apparent synergy of the four-drug combination.
chemotherapy-induced-neutropenia	Cytotoxic chemotherapy kills proliferating marrow precursors rather than circulating neutrophils, and a fixed maturation delay line (MTT 89 hours) determines when that deficit becomes visible in blood, so the depth, timing, and duration of the nadir are governed by different parameters.
chemotherapy-induced-peripheral-neuropathy	A peripheral neuropathy in which neurotoxic chemotherapy damages the DRG and distal axons and, through the SARM1 axon death programme, continues to worsen for weeks after the last dose; quantifies the therapeutic-index optimum of cumulative dose and the separation of Cmax from AUC.
cholangiocarcinoma	Treating the delivered chemotherapy dose not as an input but as an output determined by bilirubin, neutrophil count, renal function, and performance status, a 54-ODE model describes how biliary drainage, which has no antitumour action of its own, changes survival.
cholelithiasis	Stone formation from biliary cholesterol supersaturation and gallbladder stasis. Dissolution therapy with ursodeoxycholic acid.
chronic-gastritis	The H. pylori-Correa sequence (atrophy to intestinal metaplasia to dysplasia). Effect of eradication therapy and PPIs on mucosal recovery.
chronic-granulomatous-disease	The disease is predicted by calibrating one thing only — NOX2 electron flux in the normal neutrophil phagosome — and the model shows that there is no threshold inside the phagosome, that the clinical correction threshold is created by organisms hiding inside phagocytes that were never killed, and that the mean DHR is not a sufficient statistic for infection risk.
chronic-hepatitis-b	HBV cccDNA persistence and immune-mediated liver injury. Viral suppression by nucleoside analogues and peg-IFN.
chronic-hepatitis-c	Perelson target-cell-limited viral dynamics (T/I/V ODEs) integrated with DAA PK/PD. Seven scenarios: SOF/LED, SOF/VEL, GLE/PIB, PEG-IFN/RBV. Models NS5B, NS5A, and NS3 inhibitor efficacy (epsilon_p/epsilon_i), CTL exhaustion, hepatic fibrosis (Metavir F-score), and HCC risk.
chronic-hepatitis-d	Treating HDV as an assembly line with two substrates — the genome the host makes and the HBsAg envelope HBV supplies — and classifying every drug by the flux it cuts: NTCP occupancy back-calculated from the fold rise in bile acids is only 0.71 at 2 mg, yet mitosis-mediated and cell-to-cell spread account for 40% of influx, which puts a ceiling on entry inhibition itself.
chronic-hyperkalemia	A model that writes serum potassium not as a reservoir but as the ratio of total body content to its intra/extracellular distribution: insulin and calcium remove not one mmol, only binders reduce the total, and an MRA does not raise potassium so much as pull the eGFR at which hyperkalaemia appears from 11 up to 21.
chronic-hypothyroidism	Reduced hypothalamic-pituitary-thyroid axis output (TSH up, FT4 down). Dose-response of levothyroxine replacement.
chronic-insomnia-disorder	A 63-ODE model that places 24-hour hyperarousal and the Spielman 3-P perpetuating loop on top of the two-process model and the VLPO-arousal flip-flop switch, reproducing the asymmetry that hypnotics target the switch while CBT-I targets the perpetuating loop.
chronic-kidney-disease	Progressive loss of eGFR from glomerular hyperfiltration and fibrosis. Renoprotection with RAAS inhibition, SGLT2i, and finerenone.
chronic-lymphocytic-leukemia	Accumulation of CD19+CD5+CD23+ monoclonal B cells (the commonest adult leukaemia in the West).
chronic-myeloid-leukemia	Leukaemia driven by the BCR-ABL fusion tyrosine kinase. TKIs such as imatinib, T315I resistance, and treatment-free remission (TFR).
chronic-osteomyelitis	Writing chronic osteomyelitis not as a problem of antibiotic susceptibility but as two multiplicative penalties shows that diffusion loss into unperfused sequestrum compounds the collapse of growth-rate-dependent killing, and that surgery, rifampicin, and duration each act on a different object: the initial condition, the bactericidal ceiling, and the time to reach it.
chronic-pancreatitis	Repeated injury activates pancreatic stellate cells, causing fibrosis and exocrine insufficiency. Enzyme replacement and pain management strategies.
chronic-pyelonephritis	Renal parenchymal scarring and loss of function from recurrent infection and reflux. Antibiotics and correction of reflux.
chronic-rhinosinusitis-with-nasal-polyps	Injury to nasal and sinus epithelium releases the alarmins TSLP, IL-33, and IL-25, activating ILC2 and driving dendritic cell Th2 maturation, then an IL-4/IL-5/IL-13 cascade with IgE class switching, eosinophil recruitment, goblet cell hyperplasia, and mucus hypersecretion.
chronic-subdural-hematoma	Writing haematoma volume not as a clot that failed to resorb but as a fixed point set by three terms of the neomembrane — exudation, rebleeding, and lymphatic absorption — derives from the asymmetry that surgery empties the stock while embolisation cuts the supply why the embolisation effect appears as an integral.
chronic-thromboembolic-pulmonary-hypertension	Incomplete fibrinolysis after pulmonary embolism leaves organised thrombus (mechanically fixed, raising PVR) plus secondary vascular remodelling (ET-1 up, NO down, PGI2 down, SMC proliferation), so total PVR rises, imposing RV pressure overload, hypertrophy, dilatation, and failure, with falling CO, SaO2, and 6MWD. Fibrinolysis is impaired by tPA deficiency, raised PAI-1, and abnormal fibrin cross-linking.
chronic-urticaria	The IgE/FceRI-mast cell axis produces wheals, flare, and itch: autoantibodies (anti-FceRIalpha, anti-IgE) or autoantigen-IgE cross-link FceRI, mast cells degranulate (histamine, PGD2, LTC4), and an IL-31/IL-33/TSLP type-2 cytokine network sustains the urticaria.
chronic-venous-insufficiency	Oedema and ulceration from valvular incompetence, raised venous pressure, and leucocyte trapping. Venoactive drugs (MPFF) and compression therapy.
cidp	Progressive or relapsing neuropathy from autoimmune destruction of myelin. IVIG, steroids, and plasma exchange.
cisplatin-induced-ototoxicity	Writing cochlear platinum as a reservoir rather than a concentration, and the route to it as a cascade from plasma to hair cell, derives the therapeutic window of thiosulfate given 6 hours later from a single time delay.
ckd-mineral-bone-disorder	Falling GFR raises FGF23 steeply and lowers Klotho, inhibiting CYP27B1 and causing 1,25-(OH)2D3 deficiency; CaSR desensitisation then gives secondary hyperparathyroidism (raised iPTH) with hyperphosphataemia and hypocalcaemia, a disturbed RANKL/OPG balance and raised sclerostin producing osteodystrophy (osteitis fibrosa, adynamic bone, mixed), plus VSMC osteoblastic transition, MGP undercarboxylation, and fetuin-A…
clostridioides-difficile-infection	Bile acid metabolism and nutrient niches wrecked by antibiotics permit spore germination and toxigenic colitis, and the microbial guilds that fail to recover after treatment ends drive recurrence.
cluster-headache	Risk loci (HCRTR2, ADCYAP1, MTNR1A, CLOCK/BMAL1) plus a 5-18x family history and smoking activate the posterior hypothalamic grey matter, and an SCN/PVN/orexin circadian gate (peaking around 03:00) with the nocturnal trough in melatonin, testosterone, and cortisol activates the V1 trigeminal ganglion (trigeminovascular), dura, ICA, and pial vesse…
cmv-infection-transplant	Reducing what an anti-CMV drug has to clear to a single threshold e* = 0.667 set only by doubling time and decay half-life, and placing beside it a second threshold the drug cannot move (E8* = 4.81/uL) together with the 57-fold clock created by the PCR sampling interval, so that prophylaxis, pre-emptive therapy, resistance, and dose reduction all become the same arithmetic.
cold-agglutinin-disease	A steroid-refractory disease in which monoclonal IgM cold agglutinin secreted by a clonal marrow B cell binds red cells at low temperature and activates the classical complement pathway, causing C3b-mediated extravascular haemolysis by hepatic Kupffer cells and C5b-9-mediated intravascular haemolysis. Rituximab, bendamustine, sutimlimab, and pegcetacoplan.
colorectal-cancer	Integrates the APC/Wnt, KRAS/MAPK, and PI3K/TP53 pathways, the MSI-H and CMS subtypes, the tumour microenvironment (CD8, Treg, MDSC, TAM), and angiogenesis (VEGF/VEGFR). PK/PD of 5-FU, oxaliplatin, irinotecan (UGT1A1), bevacizumab (TMDD), cetuximab, and pembrolizumab (MSI-H).
common-variable-immunodeficiency	Two diseases sharing one laboratory definition: the antibody-deficiency arm is quantitatively predicted by serum IgG concentration and solved by replacement therapy, whereas the immune-dysregulation arm (GLILD, autoimmune cytopenias, enteropathy) is unmoved by replacement and is what determines mortality.
community-acquired-pneumonia	Starting from the fact that beta-lactam killing is itself the release of cell wall and pneumolysin, a 38-ODE model treats fT above MIC and fAUC/MIC as integrated outcomes rather than parameters and describes how the sign of the net corticosteroid effect flips with bacterial susceptibility.
complex-regional-pain-syndrome	A chronic pain syndrome confined to one limb after fracture or surgery in which neurogenic inflammation, autoantibodies, sympathetic-afferent coupling, tissue hypoxia, spinal sensitisation, cortical reorganisation, and disuse bone loss overlap; separating the fast-decaying peripheral nodes from the slow behavioural-cortical loop and glial lock-in yields the therapeutic window (about 90 days) and the timing dependence of each drug.
congenital-adrenal-hyperplasia	21-hydroxylase deficiency causing cortisol deficiency and androgen excess. Glucocorticoid replacement and crinecerfont (CRF1 antagonism).
congenital-hyperinsulinism	Writing the disease as a single number — residual beta-cell K_ATP conductance — and using the asymmetry that diazoxide multiplies that number while octreotide adds to the voltage divider, the diazoxide non-response of recessive K_ATP disease follows arithmetically.
controlled-ovarian-stimulation	Writing oocyte yield and OHSS in IVF stimulation as two readings of the same granulosa cell mass shows they cannot be separated by FSH dose, and that only the shape of the trigger separates them (maturation reads the leading edge of the signal, OHSS the area).
copd	Airway and alveolar destruction from smoking-related oxidative stress and protease imbalance. Bronchodilation with LABA/LAMA and ICS.
coronary-microvascular-dysfunction	Writing CFR not as a state variable but as the ratio of two flows derives the structure in which the same low CFR requires opposite drugs depending on whether it came from excessive resting flow (functional) or a limit on maximal hyperaemic flow (structural).
crohn-disease	Transmural intestinal inflammation via Th1/Th17 and barrier permeability. Anti-TNF, anti-IL-12/23, and anti-integrin biologics.
cryptococcal-meningitis	Writing the disease with two different clocks — live yeast (days) and the capsular polysaccharide already dissolved in CSF (GXM, half-life about 13 days) — derives both the fact that every trial endpoint measures only the fast clock and the asymmetry that a single ergosterol node simultaneously produces the azole effect and the loss of the amphotericin target.
cushings-syndrome	Chronic hypercortisolism from a pituitary ACTH adenoma (Cushing disease, 70%), ectopic ACTH (10%), or an adrenal adenoma (15%).
cutaneous-t-cell-lymphoma	Placing one clone in three compartments — skin, blood, and lymph node — and separating mycosis fungoides from Sezary syndrome by tissue residency alone (CD69/CCR7), then deriving the gap in compartment-specific response rates and the separation of ORR from TTNT from the antibody skin partition coefficient and cutaneous NK density.
cystic-fibrosis	Raised mucus viscosity and chronic airway infection from CFTR mutation (dF508). CFTR modulators (elexacaftor/tezacaftor/ivacaftor, Trikafta).
cytokine-release-syndrome	Massive activation of immune effector cells after CAR-T or bispecific antibody administration: a T-cell burst of IFN-gamma, IL-2, and GM-CSF drives M1 macrophage polarisation (JAK-STAT1) with a steep rise in IL-6 (the key driver), IL-1beta (NLRP3 inflammasome), and TNF-alpha — endothelial activation (iNOS to NO, vasodilatation, hypotension) and VEGF/ANG2-mediated vascular permeability causing hypoxia; and the blood-brain…
dementia-with-lewy-bodies	A model that derives, from one structure — presynaptic pathology is severe in all three ascending transmitter systems while the postsynaptic receptor landscape is remodelled in a different direction in each — the superiority of cholinesterase inhibitors, the poor levodopa response, neuroleptic sensitivity, and pimavanserin efficacy simultaneously, treating cognitive fluctuation as the variance of a bistable attentional state.
